id,name,date,promoter,location,attendance,created_at,modified_at
1011,Cage Warriors 72: Tait vs. Tauru,2014-09-13,Cage Warriors,,,2019-04-01T20:47:22.081696,2019-04-01T20:47:22.081696
1031,DREAM 2,2008-04-29,DREAM,,,2019-04-01T20:48:57.678936,2019-04-01T20:48:57.678936
1082,LFA 12: Neumann vs. Krantz,2017-05-19,LFA,,,2019-04-01T20:51:14.497240,2019-04-01T20:51:14.497240
1112,UFC 88: Breakthrough,2008-09-06,UFC,"Atlanta, Georgia, USA",14736.0,2019-04-01T20:53:03.002218,2019-04-02T16:00:56.930734
1071,UFC 150: Henderson vs. Edgar II,2012-08-11,UFC,"Denver, Colorado, USA",13027.0,2019-04-01T20:50:45.933354,2019-04-02T16:02:47.191230
1013,XFC 27: Frozen Fury,2013-12-13,XFC,,,2019-04-01T20:47:27.591816,2019-04-01T20:47:27.591816
1014,XFC 25: Boiling Point,2013-09-06,XFC,,,2019-04-01T20:47:29.000862,2019-04-01T20:47:29.000862
1089,Strikeforce: Fedor vs. Werdum,2010-06-26,Strikeforce,,,2019-04-01T20:51:28.665206,2019-04-01T20:51:28.665206
1053,UFC Fight Night 16: Fight For The Troops,2008-12-10,UFC,"Fayetteville, North Carolina, USA",10000.0,2019-04-01T20:49:30.647428,2019-04-02T17:38:48.124741
1015,Fight Force: Ultimate Chaos,2009-06-27,Fight Force,,,2019-04-01T20:47:29.115340,2019-04-01T20:47:29.115340
1025,MFC 40: Crowned Kings,2014-05-09,MFC,,,2019-04-01T20:48:41.271101,2019-04-01T20:48:41.271101
1056,UFC 73: Stacked,2007-07-07,UFC,"Sacramento, California, USA",14371.0,2019-04-01T20:49:31.911327,2019-04-02T16:23:18.383971
1017,Cage Rage 27: Step Up,2008-07-12,Cage Rage,,,2019-04-01T20:47:29.558174,2019-04-01T20:47:29.558174
1072,UFC: The Ultimate Fighter 15 Episode 9,2012-05-04,UFC,,,2019-04-01T20:50:57.522801,2019-04-01T20:50:57.522801
1093,Sho MMA: Aina vs Evangelista,2009-05-15,Sho Mma,,,2019-04-01T20:51:33.497788,2019-04-01T20:51:33.497788
1061,UFC Fight Night 14: Silva vs Irvin,2008-07-19,UFC,"Las Vegas, Nevada, USA",2071.0,2019-04-01T20:49:37.405662,2019-04-02T16:00:03.638531
1018,Titan FC 34: Healy vs. Edwards,2015-07-18,Titan Fc,,,2019-04-01T20:47:30.574492,2019-04-01T20:47:30.574492
1042,IRFA 4,2013-03-09,IRFA,,,2019-04-01T20:49:08.217976,2019-04-01T20:49:08.217976
1069,ACB 90: Moscow,2018-11-10,ACB,,,2019-04-01T20:50:26.979784,2019-04-01T20:50:26.979784
1074,LFA 9: Dennis vs. Marques,2017-04-14,LFA,,,2019-04-01T20:51:00.675939,2019-04-01T20:51:00.675939
1088,Cage Warriors 45: Lloret vs. Brents,2012-02-18,Cage Warriors,,,2019-04-01T20:51:27.475885,2019-04-01T20:51:27.475885
1020,ONE Championship 68: Global Superheroes,2018-01-26,OneFC,,,2019-04-01T20:47:33.943912,2019-04-01T20:47:33.943912
1021,Strikeforce: Shields vs Lawler,2009-06-06,Strikeforce,,,2019-04-01T20:48:03.487877,2019-04-01T20:48:03.487877
