id,name,nationality
1055,Cesar Gracie,United States
1325,Minoki Ichihara,Japan
1066,Bob Gilstrap,United States
1633,Juliana Lima,Brazil
2037,Talita Nogueira,Brazil
1586,Stevie Lynch,
1976,Ho Bae Myeon,
652,Claudio Silva,
5445,Omar Morales,Venezuela
1513,Dae Won Kim,South Korea
1570,Adam Lynn,United States
8,Benny Alloway,Australia
738,Philip De Fries,England
630,Antonio Dos Santos,Brazil
352,Marco Beltran,Mexico
811,Tom Egan,Ireland
74,Marcio Alexandre Junior,Brazil
762,Tim Elliott,United States
421,Rafael Feijao,Brazil
891,Mirko Cro Cop,Croatia
531,Luiz Cane,Brazil
117,Iuri Alcantara,Brazil
853,Deiveson Figueiredo,Brazil
407,JC Cottrell,United States
674,Jussier Formiga,Brazil
696,Luiz Dutra,Brazil
601,Dooho Choi,South Korea
431,Amanda Cooper,United States
166,Francimar Barroso,Brazil
731,Talita Bernardo,Brazil
666,Klidson Abreu,Brazil
968,TJ Grant,Canada
676,Henrique da Silva,Brazil
1285,Tommy Hayden,United States
2264,Drew Pendleton,United States
246,Jason Blackford,United States
411,Chris Cariaso,United States
678,Tiago Trator,Brazil
1774,Harry Moskowitz,United States
197,Joshua Burkman,United States
1425,Steve Kennedy,Australia
1387,Cris Cyborg,Brazil
1049,Manvel Gamburyan,United States
714,CB Dollaway,United States
1941,Jose Maria,
1350,Li Jingliang,China
1777,Nico Musoke,Sweden
1709,William Patolino,Brazil
1152,Walt Harris,United States
1127,Paddy Holohan,Ireland
1330,Rony Jason,Brazil
1864,Su Mudaerji,China
1780,Leonardo Mafra,Brazil
1357,Chanmi Jeon,South Korea
1688,Lina Lansberg,Sweden
1462,Song Kenan,China
1715,Anthony Rocco Martin,United States
1044,Joe Gigliotti,United States
1126,Seohee Ham,South Korea
1445,Kai Kara-France,New Zealand
1442,Bharat Kandare,India
2351,Matt Ricehouse,United States
2623,Dmitrii Smoliakov,
1705,Rory MacDonald,Canada
2932,Michael Trizano,United States
2683,Douglas Silva de Andrade,Brazil
2304,Sergei Pavlovich,Russia
2052,Geoff Neal,United States
2086,KJ Noons,United States
2687,Jacare Souza,Brazil
2858,Zubaira Tukhugov,Russia
2594,Livinha Souza,Brazil
2421,Khalil Rountree Jr.,United States
2800,Rameau Thierry Sokoudjou,United States
2123,TJ O'Brien,
2489,Matthew Riddle,United States
2093,Nicolae Negumereanu,Romania
2924,Francisco Trevino,United States
2734,Dmitry Sosnovskiy,Russia
2488,Ricardo Ramos,Brazil
2227,BJ Penn,
2098,Minotauro Nogueira,Brazil
2514,Joshua Sampo,United States
2188,Thiago Perpetuo,Brazil
2910,Francisco Trinaldo,Brazil
2124,Jake O'Brien,United States
2699,Ulka Sasaki,Japan
461,Steven Ciaccio,United States
2201,Wayne Phillips,United States
83,Joey Armstrong,
1766,Eric Martin,United States
1039,Bobby Green,United States
2106,Alexander Otsuka,Japan
3062,Daniel Weichel,Germany
3041,Paige VanZant,United States
3325,Beibit Nazarov,Kazakhstan
3395,Glen Baker,United States
3457,Kostadin Enev,Bulgaria
2861,Alex Torres,Luxembourg
3641,Alan Johnston,Scotland
2455,Marcos Rogerio de Lima,Brazil
2044,Rogerio Nogueira,Brazil
2210,Carlo Pedersoli,United States
2257,Costas Philippou,United States
2996,Lando Vannata,United States
2767,Kevin Souza,Brazil
2990,Alexander Volkanovski,Australia
